-;* Венгерско-хорватская уния;;;;;;;;;x,,,,,,,,,,,,,
-;После смерти бездетной королевы Хорватии Илоны (Елены) Прекрасной королевство переходит к её брату Ласло I Святому, королю Венгрии. Уния Венгрии и Хорватии придаёт силы мадьярам, но сможет ли Ласло и этот недавно образованный союз выдержать испытание временем? В другой части мира султан Мавритании Юсуф ибн Ташфин начал объединять народы Северной Африки и Южной Иберии. Он стремится оспорить и по возможности обратить вспять те завоевания, которые правителям объединённых Леона и Кастилии удалось совершить в битве с мусульманами Иберии.;;;;;;;;;x,,,,,
-;* Король Дублина и Островов;;;;;;;;;x,,,,,,,,,,,,,
-;Гудрёд Крован, норвежец и ирландец по происхождению, наконец-то добился успеха в расширении своего королевства Мэна и Островов, присоединив положенное ему по праву королевство Дублин. Хоть пора норвежских завоевателей канула в лету вместе с поражением Харальда III Сурового на Стамфорд-Бридж, но Гудрёд верит, что можно повернуть время вспять. Из своего опорного пункта Дублина он стремится к расширению своих владений, чтобы именовать себя верховным королем Ирландии. Но у Гудрёда есть проблемы: он владеет землями, которые король Шотландии Малькольм III Великий Вождь называет своими, и он так просто не отступит, не вернув то, что ему положено по праву.;;;;;;;;;x,,,,,
-;* Крах домена Гудрёда Крована;;;;;;;;;x,,,,,,,,,,,,,
-;Рухнул домен, над созданием которого Гудрёд Крован трудился всю жизнь. Правитель умер от чумы, а его королевство распалось. Король Норвегии Магнус III вновь установил гегемонию над большей частью бывших владений Гудрёда, а Галлоуэй и Дублин провозгласили независимость от норвежского короля. Судьба севера Альбиона не определена: сможет ли Магнус III отомстить за своего побежденного деда Харольда III Сурового и снова навести ужас на берегах Альбиона, или же молодой король Шотландии Эдгар Храбрый сможет использовать этот переходный период в своих интересах?;;;;;;;;;x, ,,,,,,,,
-;* На грани гибели;;;;;;;;;x,,,,,,,,,,,,,
-;Западный мир на грани гибели. В Иберии Альморавиды близки к полной победе: король Леона и Кастилии Альфонсо VI Храбрый с трудом удерживает север Испании, а король Арагона и Наварры и герцог Барселоны удержали небольшие владения на границе с Францией. На другом берегу Средиземного моря Комнины, занявшие трон Византии, доблестно сражаются с турками, однако султан Кылыч-Арслан I держит в своих руках большую часть Анатолии и жадными глазами смотрит на независимую Киликийскую Армению. Иберия или Анатолия, Кастилия или Византия: удастся ли еретикам сломать железные стены христианства, чтобы окончательно ворваться в глубь Европы?;;;;;;;;;x,,,,,,
-;* Первый крестовый поход;;;;;;;;;x,,,,,,,,,,,,,
-;Левант переживает последствия кровавого конфликта - Первого крестового похода. На севере княжество Антиохия и графство Эдесса борются за первенство как с мусульманами, так и друг с другом. Антиохийский князь Боэмунд I постоянно враждует с миафизитским правителем Киликийской Армении Торосом I, чьи земли он узурпировал. На юге молодое Иерусалимское королевство балансирует между ослабленными Фатимидами, могущественным эмиром Дамаска и множеством мелких шейхов, отделяющих его от христианских правителей на севере. Смогут ли католики продержаться достаточно долго, чтобы объединиться, или же необходимо организовать ещё один крестовый поход, чтобы отстоять католическую Святую землю?;;;;;;;;;x,,,
-;* Иерусалим на пике могущества;;;;;;;;;x,,,,,,,,,,,,,
-;Корону Иерусалимского королевства получил зять умершего короля Фульк из Анжуйской династии и в то же время фактический правитель княжества Антиохия. Однако Фульк, который может достигнуть зенита своего королевства, не пользуется безоговорочной поддержкой в королевстве. Его свояченица Алиса Антиохийская пытается вновь вернуть себе корону Антиохии. В этом ей готовы помочь граф Триполи Понс и граф Эдессы Жослен II. Однако самому Жослену угрожает опасность. В Алеппо утвердился великий сельджукский военачальник Имад ад-Дин Зенги, который планирует покорить Дамаск, а потом и Эдессу. А на севере, в Киликии правит Левон I, который, воспользовавшись смертью прежнего князя Антиохии, вернул ряд армянских земель. Однако теперь над Киликийской Арменией нависла угроза: император Византии Иоанн II Комнин вознамерился вернуть прежние территории своей империи, в первую очередь Киликию и Антиохию. Кто же выйдет из этой сложной ситуации победителем?;;;;;;;;;x,,,,,,,,
-;* Мануил I Комнин;;;;;;;;;x,,,,,,,,,,,,,
-;Мануил I Комнин царствует в Византии, а Венгрия в страхе наблюдает за ним. Император-авантюрист Мануил I Комнин давно заключил договор с королём Венгрии Иштваном III, согласно которому брат Иштвана Бела должен был получить образование при императорском дворе в Константинополе. У Мануила до сих пор нет законного наследника мужского пола, он и предполагал, что Бела, женившись на его дочери Марии, будет со временем править вместе с ней как император. Однако, уловив удобный момент, Мануил решил выступить против Иштвана, предъявив ему претензии на Далмацию и Хорватию. Получив эти земли, Бела стал вассалом Мануила и наследником королевств Хорватии и Венгрии. Династия Комнинов, похоже, может лишиться императорского трона, если Мануил не предпримет срочных мер, однако Византийская империя может получить величайший приз, который она стремилась заполучить с тех пор, как Комнины заняли трон - буфер между Священной Римской и Восточной Римской империями.;;;;;;;;;x,,
-;* Падение Комнинов;;;;;;;;;x,,,,,,,,,,,,,
-;Комнины лишились императорского трона, и Византия рушится вслед за ними. Возникшие великая жупа Рашка и царство Болгария объявили о своей независимости от Византии, а сельджукские султаны Рума нападают на восстановленные границы империи в Анатолии, независимый Бела III правит в королевстве Венгрия и Хорватия. Все мечты Мануила Комнина потерпели крах, но это время возможностей для тех, кто достаточно мудр, чтобы разглядеть их. Малолетний представитель царской династии Комнинов Алексий правит в Трапезунде. Если он сможет собрать достаточно соратников, чтобы предъявить свои претензии на Византию, молодой Комнин сможет возродить золотой век, который закончился с безвременным падением его семьи.;;;;;;;;;x,,,,,
-;* Иберийская кампания;;;;;;;;;x,,,,,,,,,,,,,
-;Иберия разделена между мусульманами и христианами. Католический север делят пять королевств: Португалия, Леон, Кастилия, Наварра и Арагон. Мусульманский юг же объединён под властью могущественных Альмохадов. Настала ли пора для христиан воспользоваться случаем и расширить свои владения, или же Альмохадам, накопившим достаточно сил, выпала возможность окончательно прорваться в Европу?;;;;;;;;;x,,,,,,,
-;* Падение Конийского султаната;;;;;;;;;x,,,,,,,,,,,,,
-;Потерпев поражение от монголов, ускоривший процесс упадка внутри страны, Конийский султанат распался. На его месте появилось полдюжины султанатов, каждый из которых претендует на роль истинного преемника Рума. Византийская империя, с трудом стоящая на ногах, вернула себе Константинополь, но её способность на большие завоевания под вопросом. Многие правители испытывают интерес к землям, лежащим на востоке, стоит только вспомнить о Неаполе или о всё ещё враждующих владыках Греции. Однако, независимо от их желания, триумф одержит только один правитель. Из пепла Рума или Византии должна восстать великая нация, и тот, кто сумеет объединить разрозненные народы Эгейского моря, будет обладать достаточной силой, чтобы бросить вызов стражу Европы - Венгрии.;;;;;;;;;x,,,,
-;* Магнус IV Ласковый;;;;;;;;;x,,,,,,,,,,,,,
-;Магнус IV Ласковый, избранный король Швеции и по праву рождения король Норвегии, временно объединил под своей властью большую часть Скандинавии. Если только Магнус не окажется выдающимся королем, маловероятно, что союз будет существовать и после него. Есть ещё те, кто шепчет о создании империи Севера во главе с ним...;;;;;;;;;x,,,,,,,,,
-;* Итальянская кампания;;;;;;;;;x,,,,,,,,,,,,,
-;Священная Римская империя находится в упадке, и Италия наконец-то полностью освободилась от её власти. Герцоги воюют с графами, мэры с дожами. Кто объединит Италию и будет ли она вообще объединена?;;;;;;;;;x,,,,,,,,,,,
-;* Саладин;;;;;;;;;x,,,,,,,,,,,,,
-;Салах ад-Дин (Благочестие веры) Юсуф ибн Айюб, более известный западному миру как Саладин, захватил трон Египта. Быший слуга эмира Дамаска и Алеппо Нур ад-Дина, Салах ад-Дин отобрал Египет у Фатимидов-шиитов, воспользовавшись царившим там кризисом. Тем самым он пошёл против давней дружбы с эмиром Дамаска и вызвал большую напряжённость в государствах крестоносцев. Салах ад-Дин, вероятно, будет некоторое время занят Нур ад-Дином, не говоря уже о своих собственных шиитских подданных, но это лишь вопрос времени, когда святой воин обратит свой взор на Иерусалим и Антиохию...;;;;;;;;;x,,,,,,,
-;* Анархия в Англии;;;;;;;;;x,,,,,,,,,,,,,
-;Анархия, или гражданская война в Англии 1135-1154 годов, – это период ранней английской истории, когда династия норманнского завоевателя Вильгельма I пала, и на смену пришла её младшая ветвь – Плантагенеты. Всё началось с того, что сын Вильгельма Генрих I умер, не оставив наследников. Хотя Генрих I пытался посадить на трон свою дочь Матильду, лорды Англии этого не допустили, а объявили королём потомка Вильгельма по женской линии – Стефана Блуаского. Однако поддержка Стефана не абсолютна: Матильду поддерживает, прежде всего, её муж, сын короля Иерусалима Фулька – Жоффруа (Готфрид) V Анжуйский, завоевавший от имени своей жены Нормандию. На стороне Матильды также стоит её брат, эрл Гвентский Роберт II. Однако и Стефан может похвастаться могущественными союзниками – граф Шампанский Тибо II, брат короля, и Вильгельм Ипрский, близкий соратник Стефана, готовы добиться победы Блуаской династии.;;;;;;;;;x,,
-;* Габсбурги;;;;;;;;;x,,,,,,,,,,,,,
-;В борьбе за власть в Священной Римской империи император Рудольф I из династии Габсбургов уничтожил своего соперника - короля Богемии Пржемысла Отакара II. После поражения короля Богемии большая часть его земель отошла к короне, включая Австрию, которую Рудольф передал своему сыну Альбрехту. Хотя престолонаследие обеспечено, не всё так благополучно. Карл II Анжуйский, родственник короля Франции, недавно сумел предъявить свои права на Сицилийское королевство. Его земли в Провансе были присоединены к сицилийским владениям и могущественный монарх даже начал расширяться в сторону Греции, ещё больше укрепляя свою власть на юге полуострова. Многие итальянские государства стремятся воспользоваться слабостью, воспринятую и Карлом II, и начинают постепенно отделяться от империи в эти смутные времена. Победа дома Габсбургов не должна быть напрасной - остановите отделение итальянских владений во имя империи!;;;;;;;;;x,,
-;* Смута в Священной Римской империи;;;;;;;;;x,,,,,,,,,,,,,
-;Благодаря подкупу немецких курфюрстов, английский принц Ричард Корнуоллский был избран правителем Священной Римской империи. Однако его избрание ставит серьёзные вопросы о будущем Империи. Брат императора, король Англии является его сильным союзником, который понадобится Священной Римской империи, которая находится в опасном положении. Король Сицилии Конрадин (Конрад II) из дома Гогенштауфенов, праправнук Фридриха I Барбароссы, является независимым курфюрстом империи и ревностно стремится вернуть титулы своей семьи. Контролируя герцогство Швабия, он имеет земли в Центральной Германии, что ослабляет империю и делает Конрадина полноправным преемником. А если опасности со стороны соседних правителей недостаточно, то король Богемии Пржемысл Отакар II уже расширился к Адриатическому морю и накапливает силы и поддержку для своего собственного избрания. Сможет ли дом Плантагенетов сохранить контроль над империей в результате ещё одних выборов?;;;;;;;;;x,,,
-;* Император всей Испании;;;;;;;;;x,,,,,,,,,,,,,
