BM_HUNGARY;* Hungary-Croatia;;;;;;;;;x,,,,,,,,,,,,,
BM_HUNGARY_DESC;The death of Ilyena Arpad, the childless Queen of Croatia, passes her Kingdom on to her brother Laszlo, King of Hungary. The union of Hungary-Croatia brings strength to the Magyars, but will Laszlo and this new-formed Balkan union be able to stand the test of time? Elsewhere in the world, Yusuf Almoravid, Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest--and if possible, reverse--the conquests that the kingdom of Leon-Castille has managed against the Muslims of Iberia.;;;;;;;;;x,,,,,
BM_THE_ISLES;* King of Dublin and the Isles;;;;;;;;;x,,,,,,,,,,,,,
BM_THE_ISLES_DESC;Godred Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hårdråde at Stamford Bridge, but Godred Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Ri Eirinn, High King of Ireland. But Gudrod is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;;;;;;;;;x,,,,,
BM_NORWAY_1;* The Collapse of the Isles;;;;;;;;;x,,,,,,,,,,,,,
BM_NORWAY_1_DESC;The Kingdom that Godred Crovan worked his entire life to create is no more. He is dead of the plague and his kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Godred's old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather the Hårdråde and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;;;;;;;;;x, ,,,,,,,,
BM_EDGE_OF_KNIFE;* The Edge of the Knife;;;;;;;;;x,,,,,,,,,,,,,
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of León-Castilla barely holding on to the north of España, and the Kingdom of Aragón-Navarra and the Duchy of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenoi have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Duchy of Armenia Minor. Iberia or Anatolia, Castille or Byzantium: will the heathens succeed in breaking the iron walls of Christianity to finally breech the interior of Europe?;;;;;;;;;x,,,,,,
BM_ANTIOCH;* The First Crusade;;;;;;;;;x,,,,,,,,,,,,,
BM_ANTIOCH_DESC;The Levant reels in the aftermath of the bloody conflict that is the First Crusade. In the north, the Principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Thoros, the Orthodox Duke of Armenia Minor, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;;;;;;;;;x,,,
BM_JERUSALEM;* Jerusalem at its Height;;;;;;;;;x,,,,,,,,,,,,,
BM_JERUSALEM_DESC;The crown of the kingdom of Jerusalem was given to the son-in-law of the dead king Fulk of the Anjou dynasty and at the same time he is the de facto ruler of the principality of Antioch. However, Fulk, who may have reached the zenith of his kingdom, does not receive full support in the kingdom. His sister-in-law Alice of Antioch is trying to regain the crown of Antioch. Count Ponce of Tripoli and Joselin II of Edessa are ready to help her. But Joselin himself is in danger. A great Seljuk warlord, Imad al-Din Zengi, has established himself in Aleppo, planning to conquer Damascus and then Edessa. In the north, Armenia Minor was ruled by Levon I, who took advantage of the death of the former Prince of Antioch to regain some Armenian lands. However, now a threat hangs over Armenia Minor: Byzantine Emperor John II Komnenos intends to return the former territories of his empire, first of all Minor Armenia and Antioch. Who would emerge victorious from this difficult situation?;;;;;;;;;x,,,,,,,,
BM_KOMNENOS;* Manuel Komnenos;;;;;;;;;x,,,,,,,,,,,,,
BM_KOMNENOS_DESC;Manuel Komnenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, István III,whereby István's brother Belá would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Belá to be married to his daughter Maria, to eventually rule alongside her as Emperor.  Sensing opportunity, however, Manuel decided to move against István and press his son-in-law's claims on the duchies of Dalmatia and Croatia. With those titles secured, Belá is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;;;;;;;;;x,,
BM_SERBIA;* Fall of the Komnenos;;;;;;;;;x,,,,,,,,,,,,,
BM_SERBIA_DESC;The Komnenos have fallen from the Imperial Throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire's restored borders in Anatolia, and an independent Belá III rules in Hungary-Croatia. All of Manuel Komnenos's dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family's untimely fall from grace brought to a close.;;;;;;;;;x,,,,,
BM_IBERIA;* The Iberian Campaign;;;;;;;;;x,,,,,,,,,,,,,
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castille, Navarra, and Aragón. To the south, the Muslims are unified under the powerful Almohad Sultanate. Is this a time of opportunity and growth for the Christians, or has the Almohad Sultan amassed enough power to finally breach Europe proper?;;;;;;;;;x,,,,,,,
BM_FRACTURE;* The Fall of Rum;;;;;;;;;x,,,,,,,,,,,,,
BM_FRACTURE_DESC;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rum has collapsed. In its place a half-dozen Sultans have risen, all claiming to be Rum's true successor. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other lords and lands have interest in the east, not to mention Naples and the still-warring Dukes in Greece, but regardless of if it is desired, this is one man's time. A great nation must rise from the ashes of Rum--or Byzantium--and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;;;;;;;;;x,,,,
BM_SWEDEN;* Magnus IV;;;;;;;;;x,,,,,,,,,,,,,
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head….;;;;;;;;;x,,,,,,,,,
BM_ITALY;* The Italian Campaign;;;;;;;;;x,,,,,,,,,,,,,
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with Doges. Who will unite Italy--or will Italy be united at all?;;;;;;;;;x,,,,,,,,,,,
BM_SALADIN;* Salah ad-Din;;;;;;;;;x,,,,,,,,,,,,,
BM_SALADIN_DESC;Salah ad-Din Yusuf ibn Ayyub--better known to the Western world as Saladin--has taken the throne of Egypt for his own. Previously the servant of the Emir of Damascus, Nur ad-Din, Salah ad-Din has broken with his former benefactor to usurp the Sultanate of Egypt from the Shia Fatimids during a period of crisis, choosing opportunity over longstanding friendship with the Emir, and causing great tension in the Crusader States. Although Salah ad-Din is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch….;;;;;;;;;x,,,,,,,
BM_ANARCHY;* The Anarchy;;;;;;;;;x,,,,,,,,,,,,,
