#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tb_culture_gaulish_1;Cavalry Field;Cavalerie Gauloise;;;;;;;;;;;;x
tb_culture_gaulish_2;Cavalry Field;Cavalerie Gauloise;;;;;;;;;;;;x
tb_culture_gaulish_3;Cavalry Field;Cavalerie Gauloise;;;;;;;;;;;;x
tb_culture_gaulish_4;Cavalry Field;Cavalerie Gauloise;;;;;;;;;;;;x
tb_culture_egyptian_coptic_1;Shrine of Anhur;;;;;;;;;;;;;x
tb_culture_egyptian_coptic_2;Temple of Anhur;;;;;;;;;;;;;x
tb_culture_egyptian_coptic_3;High Temple of Anhur;;;;;;;;;;;;;x
tb_culture_egyptian_coptic_4;Grand Temple of Anhur;;;;;;;;;;;;;x
tb_great_pillar_celtic;Standing Stones;Pierres Dressées;Stehende Steine;;Piedras de Pie;;;;;;;;x
tb_great_pillar_celtic_desc;A sacred carved pillar bearing deep religious significance for the local pagan tribes.;Une colonne sculptée sacrée ayant une signification religieuse profonde pour les tribus païennes locales.;Eine heilige geschnitzte Säule, die für die lokalen heidnischen Stämme eine tiefe religiöse Bedeutung hat.;;Un pilar sagrado tallado de honda importancia religiosa para las tribus paganas locales.;;;;;;;;x
tb_great_pillar_celtic_empty;Standing Stones;Pierres Dressées;Stehende Steine;;Piedras de Pie;;;;;;;;x
tb_great_pillar_celtic_empty_desc;A sacred carved pillar bearing deep religious significance for the local pagan tribes.;Une colonne sculptée sacrée ayant une signification religieuse profonde pour les tribus païennes locales.;Eine heilige geschnitzte Säule, die für die lokalen heidnischen Stämme eine tiefe religiöse Bedeutung hat.;;Un pilar sagrado tallado de honda importancia religiosa para las tribus paganas locales.;;;;;;;;x
tb_great_pillar_egyptian;Great [egyptian_pagan.GetName] Pillar;Grande colonne [egyptian_pagan.GetName];Große [egyptian_pagan.GetName]e Säule;;Gran pilar [egyptian_pagan.GetName] ;;;;;;;;x
